date,a_x,a_y,a_z,angx,angy,angz,pressure,flag
33.03,-0.49,-1.12,9.64,4,-41,-148,20566.3,1
33.136,-0.48,-0.95,9.69,7,-40,-146,20571.9,1
33.242,-0.42,-0.65,9.79,2,-40,-148,20579.2,1
33.348,-0.36,-0.51,9.82,3,-44,-146,20582.3,1
33.453,-0.23,-0.34,9.85,0,-42,-147,20584.1,1
33.559,-0.01,-0.54,9.84,3,-37,-147,20581.5,1
33.665,0.26,-0.59,9.84,4,-36,-147,20575.9,1
33.771,0.44,-0.47,9.84,4,-33,-148,20567.4,1
33.877,0.7,-0.37,9.81,-1,-35,-150,20556.1,1
33.983,0.87,-0.33,9.74,0,-34,-148,20548.7,1
34.089,0.9,-0.36,9.72,0,-31,-148,20541.4,1
34.195,0.9,-0.56,9.65,4,-35,-146,20535.3,1
34.3,0.8,-0.83,9.57,4,-35,-146,20528,1
34.406,0.72,-1,9.56,6,-39,-146,20525.1,1
34.512,0.47,-1.09,9.54,7,-39,-145,20524,1
34.618,0.22,-0.9,9.56,5,-40,-145,20526.3,1
34.724,0.09,-0.8,9.57,5,-40,-146,20534.7,1
34.83,-0.14,-0.78,9.63,3,-40,-147,20542.1,1
34.935,-0.29,-0.88,9.62,3,-44,-147,20550,1
35.041,-0.4,-0.91,9.64,1,-44,-146,20556.3,1
35.147,-0.42,-0.84,9.67,2,-46,-146,20566.8,1
35.253,-0.42,-0.63,9.75,3,-43,-150,20574,1
35.359,-0.36,-0.43,9.81,2,-45,-149,20579.2,1
35.465,-0.32,-0.38,9.83,0,-43,-149,20582.6,1
35.57,-0.16,-0.36,9.85,0,-45,-147,20583,1
35.676,0.08,-0.33,9.85,0,-41,-149,20579.5,1
35.782,0.23,-0.24,9.87,0,-38,-148,20574.3,1
35.888,0.53,-0.17,9.84,-5,-38,-147,20566,1
35.994,0.75,-0.06,9.8,-2,-36,-150,20556.1,1
36.1,0.83,-0.06,9.78,-4,-39,-150,20547.3,1
36.206,0.91,-0.09,9.73,-1,-35,-148,20540.6,1
36.312,0.87,-0.22,9.67,-3,-36,-149,20532.2,1
36.417,0.67,-0.38,9.61,-3,-38,-151,20526.9,1
36.523,0.53,-0.48,9.59,0,-36,-149,20526,1
36.629,0.21,-0.58,9.58,-2,-37,-149,20527.8,1
36.735,-0.07,-0.58,9.61,-3,-41,-149,20532.8,1
36.841,-0.19,-0.6,9.63,0,-43,-147,20538.2,1
36.947,-0.33,-0.8,9.65,-2,-41,-148,20545.7,1
37.053,-0.36,-0.99,9.65,1,-45,-146,20550.1,1
37.159,-0.36,-1.03,9.63,0,-42,-145,20557.6,1
37.264,-0.31,-0.84,9.7,0,-41,-150,20563.6,1
37.37,-0.2,-0.56,9.8,-1,-47,-147,20565.9,1
37.476,-0.13,-0.5,9.81,-5,-41,-148,20567.2,1
37.582,0.03,-0.49,9.83,-3,-41,-145,20566.5,1
37.688,0.27,-0.64,9.8,-2,-37,-148,20563.9,1
37.794,0.54,-0.71,9.8,-4,-41,-147,20558.3,1
